import time: self [us] | cumulative | imported package
import time:     88135 |      93707 |                   rich.color
import time:      1699 |      95405 |                 rich.style
import time:      1421 |      96826 |               rich.default_styles
import time:      1611 |       1611 |               rich.theme
import time:       938 |      99374 |             rich.themes
import time:      3503 |       3503 |               rich._emoji_codes
import time:      1308 |       4810 |             rich._emoji_replace
import time:      1058 |       1058 |             rich._export_format
import time:       968 |        968 |             rich._fileno
import time:       860 |        860 |                 rich._loop
import time:       725 |        725 |                 rich._pick
import time:      1076 |       1076 |                     rich._cell_widths
import time:      1397 |       2472 |                   rich.cells
import time:      1079 |       3550 |                 rich._wrap
import time:      2150 |       2150 |                       rich.segment
import time:       908 |       3058 |                     rich.jupyter
import time:       776 |        776 |                       rich.protocol
import time:      1275 |       2051 |                     rich.measure
import time:       893 |       6000 |                   rich.constrain
import time:      1404 |       7404 |                 rich.align
import time:      1297 |       1297 |                 rich.containers
import time:      1077 |       1077 |                 rich.control
import time:      1252 |       1252 |                 rich.emoji
import time:      2364 |      18527 |               rich.text
import time:      1180 |      19707 |             rich._log_render
import time:      1321 |       1321 |             rich.highlighter
import time:      1857 |       1857 |             rich.markup
import time:      1005 |       1005 |             rich.pager
import time:       159 |        159 |               array
import time:      1135 |       1135 |                   attr._compat
import time:       837 |        837 |                     attr._config
import time:       946 |        946 |                       attr.exceptions
import time:       943 |       1889 |                     attr.setters
import time:      6351 |       9075 |                   attr._make
import time:      1177 |      11387 |                 attr.converters
import time:      1013 |       1013 |                 attr.filters
import time:      6545 |       6545 |                 attr.validators
import time:       957 |        957 |                 attr._cmp
import time:       876 |        876 |                 attr._funcs
import time:       851 |        851 |                 attr._next_gen
import time:      2687 |       2687 |                 attr._version_info
import time:      1628 |      25941 |               attr
import time:       896 |        896 |               rich.abc
import time:      3826 |      30821 |             rich.pretty
import time:      1366 |       1366 |             rich.region
import time:      1217 |       1217 |                 rich.box
import time:      1136 |       1136 |                 rich.padding
import time:      1226 |       3578 |               rich.panel
import time:      1222 |       1222 |                 rich._ratio
import time:      4220 |       5441 |               rich.table
import time:      1188 |      10206 |             rich.scope
import time:      1204 |       1204 |             rich.screen
import time:      1168 |       1168 |             rich.styled
import time:      5925 |     187223 |           rich.console
import time:       131 |        131 |             mmap
import time:       939 |        939 |             rich.filesize
import time:      1570 |       1570 |                 rich.ansi
import time:       876 |       2446 |               rich.file_proxy
import time:      1079 |       1079 |               rich.live_render
import time:      1337 |       4861 |             rich.live
import time:      1454 |       1454 |             rich.progress_bar
import time:       994 |        994 |               rich._spinners
import time:      1160 |       2154 |             rich.spinner
import time:      4386 |      13922 |           rich.progress
import time:       763 |        763 |               pygments.filter
import time:       929 |        929 |                 pygments.token
import time:      1268 |       2197 |               pygments.filters
import time:      1128 |       1128 |               pygments.regexopt
import time:      1756 |       5842 |             pygments.lexer
import time:      1326 |       1326 |             pygments.style
import time:      1097 |       1097 |               pygments.styles._mapping
import time:       949 |       2045 |             pygments.styles
import time:      2587 |      11799 |           rich.syntax
import time:      1545 |     224959 |         httpx._main
import time:     12572 |     296767 |       httpx
import time:     26394 |     338999 |     routers.plugins
import time:      2130 |       2130 |     routers.runtime
import time:      4947 |       4947 |     routers.llm_mgmt
import time:      4280 |       4280 |       schemas.character
import time:      4726 |       9006 |     routers.characters
import time:      4331 |       4331 |     routers.completions
import time:     13361 |      13361 |     routers.admin
import time:      2749 |       2749 |     routers.debug
import time:       411 |        411 |         core.security
import time:      2348 |       2758 |       core.security.safe_path
import time:      2490 |       5247 |     routers.plugin_assets
import time:      1078 |       1078 |                   jwt.exceptions
import time:       791 |        791 |                   jwt.types
import time:       972 |        972 |                               cryptography.__about__
import time:       927 |       1899 |                             cryptography
import time:       830 |       2728 |                           cryptography.hazmat
import time:      1124 |       3851 |                         cryptography.hazmat.primitives
import time:      1362 |       5212 |                       cryptography.hazmat.primitives.asymmetric
import time:       995 |        995 |                       cryptography.utils
import time:       887 |        887 |                           cryptography.hazmat.bindings
import time:      1947 |       1947 |                           _cffi_backend
import time:      4782 |       7615 |                         cryptography.hazmat.bindings._rust
import time:       838 |       8452 |                       cryptography.exceptions
import time:      1456 |       1456 |                         cryptography.hazmat.primitives.hashes
import time:      1614 |       3070 |                       cryptography.hazmat._oid
import time:      1826 |       1826 |                       cryptography.hazmat.primitives._serialization
import time:       949 |        949 |                       cryptography.hazmat.primitives.asymmetric.utils
import time:      1806 |      22308 |                     cryptography.hazmat.primitives.asymmetric.ec
import time:      1590 |      23897 |                   jwt.utils
import time:      1168 |       1168 |                   cryptography.hazmat.backends
import time:       721 |        721 |                     cryptography.hazmat.primitives._asymmetric
import time:       934 |        934 |                     cryptography.hazmat.primitives.asymmetric.rsa
import time:      1005 |       2659 |                   cryptography.hazmat.primitives.asymmetric.padding
import time:       837 |        837 |                   cryptography.hazmat.primitives.asymmetric.ed448
import time:       957 |        957 |                   cryptography.hazmat.primitives.asymmetric.ed25519
import time:       974 |        974 |                     cryptography.hazmat.primitives.serialization.base
import time:       905 |        905 |                       cryptography.hazmat.primitives.asymmetric.dsa
import time:       688 |        688 |                         cryptography.hazmat.primitives._cipheralgorithm
import time:       801 |        801 |                                   cryptography.hazmat.decrepit
import time:      1149 |       1949 |                                 cryptography.hazmat.decrepit.ciphers
import time:      1207 |       3155 |                               cryptography.hazmat.decrepit.ciphers.algorithms
import time:       896 |       4051 |                             cryptography.hazmat.primitives.ciphers.algorithms
import time:      1096 |       5147 |                           cryptography.hazmat.primitives.ciphers.modes
import time:      1615 |       6762 |                         cryptography.hazmat.primitives.ciphers.base
import time:       813 |       8262 |                       cryptography.hazmat.primitives.ciphers
import time:       451 |        451 |                       bcrypt
import time:      2828 |      12445 |                     cryptography.hazmat.primitives.serialization.ssh
import time:      1088 |      14507 |                   cryptography.hazmat.primitives.serialization
import time:      1284 |      47174 |                 jwt.algorithms
import time:      1046 |      48220 |               jwt.api_jwk
import time:       659 |        659 |                 jwt.warnings
import time:       999 |       1658 |               jwt.api_jws
import time:       785 |        785 |               jwt.api_jwt
import time:       711 |        711 |                 jwt.jwk_set_cache
import time:       874 |       1584 |               jwt.jwks_client
import time:      1045 |      53289 |             jwt
import time:       700 |      53989 |           security.tokens
import time:       271 |        271 |             services.infra
import time:      2275 |       2546 |           services.infra.service_discovery
import time:       790 |      57324 |         services.runtime_service
import time:       791 |      58114 |       routers.worker_proxy
import time:      4710 |      62824 |     routers.vision_routes
import time:      8154 |       8154 |     routers.stt_routes
import time:      6688 |       6688 |     routers.tts_routes
import time:      1209 |       1209 |               gzip
import time:      1430 |       1430 |               http.server
import time:       894 |        894 |                 wsgiref
import time:      1220 |       1220 |                   wsgiref.util
import time:      1319 |       1319 |                   wsgiref.headers
import time:      1391 |       3929 |                 wsgiref.handlers
import time:      1291 |       6114 |               wsgiref.simple_server
import time:      1194 |       1194 |               prometheus_client.openmetrics
import time:      1438 |       1438 |                 prometheus_client.utils
import time:      1498 |       1498 |                 prometheus_client.validation
import time:      1830 |       4765 |               prometheus_client.openmetrics.exposition
import time:      2354 |       2354 |                   prometheus_client.samples
import time:      2009 |       4363 |                 prometheus_client.metrics_core
import time:      6502 |      10864 |               prometheus_client.registry
import time:       747 |        747 |               snappy
import time:      1177 |       1177 |               prometheus_client.asgi
import time:      2426 |      29923 |             prometheus_client.exposition
import time:       134 |        134 |               gc
import time:      1289 |       1422 |             prometheus_client.gc_collector
import time:      1018 |       1018 |                 prometheus_client.mmap_dict
import time:      1323 |       2341 |               prometheus_client.values
import time:      1138 |       1138 |                 timeit
import time:      2082 |       2082 |                 prometheus_client.decorator
import time:      1175 |       4394 |               prometheus_client.context_managers
import time:      2483 |       9218 |             prometheus_client.metrics
import time:      1265 |       1265 |             prometheus_client.platform_collector
import time:       851 |        851 |               resource
import time:      1552 |       2402 |             prometheus_client.process_collector
import time:      1434 |      45662 |           prometheus_client
import time:      1548 |      47209 |         services.observability.metrics
import time:      1373 |       1373 |           logger_setup
import time:      1339 |       2712 |         services.observability.structured_logger
import time:       838 |      50758 |       services.observability
import time:      1462 |      52219 |     routers.metrics
import time:      1187 |       1187 |             plugins
import time:      1545 |       2732 |           plugins.extensions
import time:       690 |       3421 |         plugins.extensions.voiceprint
import time:      2271 |       2271 |           core.interfaces.lifecycle_bus
import time:      1070 |       1070 |                 asyncpg.compat
import time:      1615 |       1615 |                     asyncpg.exceptions._base
import time:      4990 |       6605 |                   asyncpg.exceptions
import time:       979 |        979 |                         asyncpg.pgproto
import time:      1293 |       1293 |                         asyncpg.pgproto.types
import time:      2335 |       4607 |                       asyncpg.pgproto.pgproto
import time:      1821 |       1821 |                       asyncpg.types
import time:      1350 |       1350 |                       asyncpg.protocol.record
import time:      1230 |       1230 |                       stringprep
import time:      3464 |      12471 |                     asyncpg.protocol.protocol
import time:      1174 |      13644 |                   asyncpg.protocol
import time:      2269 |      22516 |                 asyncpg.connect_utils
import time:       828 |        828 |                   asyncpg.connresource
import time:      1268 |       2096 |                 asyncpg.cursor
import time:       944 |        944 |                 asyncpg.introspection
import time:      1118 |       1118 |                 asyncpg.prepared_stmt
import time:      1263 |       1263 |                 asyncpg.serverversion
import time:      1020 |       1020 |                 asyncpg.transaction
import time:       927 |        927 |                 asyncpg.utils
import time:      3321 |      34272 |               asyncpg.connection
import time:      1778 |       1778 |               asyncpg.pool
import time:       819 |        819 |               asyncpg._version
import time:      1541 |      38409 |             asyncpg
import time:      1408 |      39817 |           services.infra.postgres_lifecycle_bus
import time:      1239 |      43326 |         services.infra.bus_factory
import time:      1381 |      48128 |       plugins.extensions.voiceprint.store
import time:      5475 |      53603 |     routers.voiceprint
import time:       408 |        408 |         core.protocols
import time:     10791 |      11198 |       core.protocols.worker_control
import time:      1403 |      12601 |     services.infra.worker_control_hub
import time:      1106 |       1106 |     services.lifecycle
import time:       268 |        268 |       services.middleware
import time:      1008 |       1276 |     services.middleware.metrics_middleware
import time:      2398 |       2398 |     services.middleware.plugin_guard
import time:      1141 |       1141 |       services.router_manager
import time:       925 |       2066 |     services.middleware.resource_cleanup
import time:       798 |        798 |     services.middleware.scope_guard
import time:      2178 |    1140551 |   core.api.app_factory
import time:     64091 |    2143377 | main
