import time: self [us] | cumulative | imported package
import time:      2976 |      16546 |       logging.config
import time:      3360 |       3360 |       configparser
import time:      1362 |       1362 |           urllib
import time:      3493 |       3493 |           ipaddress
import time:      3320 |       8175 |         urllib.parse
import time:      2137 |      10312 |       pathlib
import time:      2238 |       2238 |           gettext
import time:       223 |        223 |               _datetime
import time:      1038 |       1260 |             datetime
import time:      3776 |       3776 |                   _ctypes
import time:      1834 |       1834 |                   ctypes._endian
import time:      2601 |       8210 |                 ctypes
import time:      1595 |       1595 |                 ctypes.wintypes
import time:      3246 |      13050 |               click._winconsole
import time:      1481 |      14531 |             click._compat
import time:      1173 |       1173 |               click.globals
import time:      1459 |       1459 |               click.utils
import time:      1938 |       4568 |             click.exceptions
import time:      2448 |      22806 |           click.types
import time:      1704 |       1704 |           click._utils
import time:      1431 |       1431 |             click.parser
import time:      1471 |       2902 |           click.formatting
import time:      1364 |       1364 |           click.termui
import time:      3390 |      34401 |         click.core
import time:      1954 |       1954 |         click.decorators
import time:      1664 |      38018 |       click
import time:      1290 |       1290 |       uvicorn._compat
import time:      6568 |       6568 |       uvicorn._types
import time:      1350 |       1350 |       uvicorn.importer
import time:      3455 |       3455 |         http
import time:      1351 |       4806 |       uvicorn.logging
import time:      1543 |       1543 |         uvicorn.middleware
import time:      2310 |       3852 |       uvicorn.middleware.asgi2
import time:      1511 |       1511 |       uvicorn.middleware.message_logger
import time:      1274 |       1274 |       uvicorn.middleware.proxy_headers
import time:      3570 |       3570 |         a2wsgi
import time:      1420 |       4989 |       uvicorn.middleware.wsgi
import time:      2241 |     296101 |     uvicorn.config
import time:      3967 |       3967 |         _wmi
import time:      2685 |       6652 |       platform
import time:      1744 |       1744 |           email
import time:      4313 |       4313 |             calendar
import time:      1327 |       5639 |           email._parseaddr
import time:      1464 |       1464 |             email.base64mime
import time:      1607 |       1607 |             email.quoprimime
import time:      1571 |       1571 |             email.errors
import time:      1173 |       1173 |               quopri
import time:      1025 |       2197 |             email.encoders
import time:      1733 |       8570 |           email.charset
import time:      2644 |      18597 |         email.utils
import time:      1646 |      20242 |       uvicorn.server
import time:      1365 |       1365 |                 multiprocessing.process
import time:      1264 |       1264 |                 multiprocessing.reduction
import time:      2420 |       5048 |               multiprocessing.context
import time:      1984 |       7031 |             multiprocessing
import time:      2092 |       2092 |               _multiprocessing
import time:      1716 |       1716 |               multiprocessing.util
import time:      3990 |       7797 |             multiprocessing.connection
import time:      1291 |      16118 |           uvicorn._subprocess
import time:      1837 |      17954 |         uvicorn.supervisors.basereload
import time:      1699 |       1699 |         uvicorn.supervisors.multiprocess
import time:      1633 |       1633 |             watchfiles.filters
import time:      1515 |       1515 |                   anyio._core
import time:      2509 |       4023 |                 anyio._core._contextmanagers
import time:      1445 |       1445 |                     sniffio._version
import time:      1223 |       1223 |                     sniffio._impl
import time:      1490 |       4157 |                   sniffio
import time:      1729 |       5886 |                 anyio._core._eventloop
import time:      1520 |       1520 |                 anyio._core._exceptions
import time:      1798 |       1798 |                   dataclasses
import time:      2337 |       2337 |                       anyio.abc._eventloop
import time:       939 |        939 |                       anyio.abc._resources
import time:      1305 |       1305 |                         anyio._core._typedattr
import time:      4498 |       4498 |                             typing_extensions
import time:      1316 |       5813 |                           anyio.abc._tasks
import time:      3089 |       8902 |                         anyio.abc._streams
import time:      2402 |      12608 |                       anyio.abc._sockets
import time:      1528 |       1528 |                       anyio.abc._subprocesses
import time:      1257 |       1257 |                       anyio.abc._testing
import time:      2210 |       2210 |                         anyio.lowlevel
import time:      1431 |       1431 |                         anyio._core._tasks
import time:      1091 |       1091 |                         anyio._core._testing
import time:      6677 |      11408 |                       anyio._core._synchronization
import time:      2817 |       2817 |                       anyio.from_thread
import time:      1890 |      34781 |                     anyio.abc
import time:      1063 |      35844 |                   anyio.to_thread
import time:      2352 |      39993 |                 anyio._core._fileio
import time:      1117 |       1117 |                 anyio._core._resources
import time:      1277 |       1277 |                 anyio._core._signals
import time:      1257 |       1257 |                     anyio.streams
import time:      3787 |       5044 |                   anyio.streams.stapled
import time:      2467 |       2467 |                   anyio.streams.tls
import time:      2812 |      10322 |                 anyio._core._sockets
import time:      4362 |       4362 |                   anyio.streams.memory
import time:      1110 |       5471 |                 anyio._core._streams
import time:      1049 |       1049 |                 anyio._core._subprocesses
import time:      1477 |       1477 |                 anyio._core._tempfile
import time:      1857 |      73987 |               anyio
import time:      1154 |       1154 |               watchfiles._rust_notify
import time:      2438 |      77579 |             watchfiles.main
import time:      1923 |       1923 |               shlex
import time:      2161 |       4084 |             watchfiles.run
import time:      1152 |       1152 |             watchfiles.version
import time:      1289 |      85735 |           watchfiles
import time:      1011 |      86745 |         uvicorn.supervisors.watchfilesreload
import time:      1441 |     107838 |       uvicorn.supervisors
import time:      2734 |     137465 |     uvicorn.main
import time:      1582 |     435147 |   uvicorn
import time:       939 |        939 |       config
import time:       933 |        933 |         services
import time:      1534 |       2467 |       services.provider_aliases
import time:      1475 |       4880 |     config.env_overrides
import time:      2822 |       2822 |         dotenv.parser
import time:      1409 |       1409 |         dotenv.variables
import time:      2444 |       6673 |       dotenv.main
import time:      1546 |       8219 |     dotenv
import time:      1741 |       1741 |                   pydantic_core._pydantic_core
import time:      2615 |       2615 |                         numbers
import time:      3326 |       5941 |                       _decimal
import time:      1329 |       7269 |                     decimal
import time:     31223 |      38491 |                   pydantic_core.core_schema
import time:      2597 |      42829 |                 pydantic_core
import time:      1339 |      44167 |               pydantic.version
import time:      1821 |      45988 |             pydantic.warnings
import time:      1727 |      47714 |           pydantic._migration
import time:      1389 |       1389 |               typing_inspection
import time:      4024 |       4024 |               typing_inspection.typing_objects
import time:      2320 |       7732 |             typing_inspection.introspection
import time:      1159 |       1159 |             pydantic._internal
import time:      2028 |       2028 |                 pydantic._internal._namespace_utils
import time:      1695 |       3723 |               pydantic._internal._typing_extra
import time:      1752 |       5474 |             pydantic._internal._repr
import time:      1579 |      15942 |           pydantic.errors
import time:      1606 |      65262 |         pydantic
import time:       946 |        946 |             pydantic._internal._internal_dataclass
import time:      3324 |       4270 |           pydantic.aliases
import time:      3226 |       3226 |           pydantic.config
import time:      1663 |       9158 |         pydantic._internal._config
import time:      2115 |       2115 |           pydantic._internal._core_utils
import time:      1238 |       1238 |             pydantic._internal._import_utils
import time:      3796 |       5034 |           pydantic._internal._utils
import time:     11519 |      18666 |         pydantic._internal._decorators
import time:      2233 |       2233 |             pydantic._internal._forward_ref
import time:      2236 |       4469 |           pydantic._internal._generics
import time:      1302 |       1302 |           pydantic._internal._docs_extraction
import time:      1995 |       7765 |         pydantic._internal._fields
import time:      2380 |       2380 |             pydantic.plugin
import time:      2289 |       4669 |           pydantic.plugin._schema_validator
import time:      1777 |       6445 |         pydantic._internal._mock_val_ser
import time:      3102 |       3102 |             fractions
import time:      1616 |       1616 |               _uuid
import time:      1919 |       3535 |             uuid
import time:      3668 |       3668 |                 sysconfig
import time:      2968 |       6636 |               zoneinfo._tzpath
import time:      1271 |       1271 |               zoneinfo._common
import time:      1890 |       1890 |               _zoneinfo
import time:      1327 |      11123 |             zoneinfo
import time:      1409 |       1409 |             pydantic.annotated_handlers
import time:      8497 |       8497 |             pydantic.functional_validators
import time:      1406 |       1406 |               pydantic._internal._core_metadata
import time:      1182 |       1182 |               pydantic._internal._schema_generation_shared
import time:      6225 |       8813 |             pydantic.json_schema
import time:      1374 |       1374 |             pydantic._internal._discriminated_union
import time:      1198 |       1198 |             pydantic._internal._known_annotated_metadata
import time:      2446 |       2446 |             pydantic._internal._schema_gather
import time:      3665 |      45157 |           pydantic._internal._generate_schema
import time:      1300 |       1300 |           pydantic._internal._signature
import time:      2445 |      48902 |         pydantic._internal._model_construction
import time:     16612 |      16612 |         annotated_types
import time:      1483 |       1483 |         pydantic._internal._validators
import time:     13595 |      13595 |         pydantic.types
import time:       157 |        157 |               _csv
import time:      1437 |       1594 |             csv
import time:      1107 |       1107 |                 importlib._abc
import time:       241 |       1347 |               importlib.util
import time:      1643 |       1643 |                 zipfile._path.glob
import time:      2109 |       3751 |               zipfile._path
import time:      2776 |       7874 |             zipfile
import time:      1791 |       1791 |                   email.header
import time:      1282 |       3073 |                 email._policybase
import time:      1369 |       1369 |                 email._encoded_words
import time:       971 |        971 |                 email.iterators
import time:      2317 |       7729 |               email.message
import time:      1264 |       1264 |                 importlib.metadata._functools
import time:      1491 |       2754 |               importlib.metadata._text
import time:      2316 |      12798 |             importlib.metadata._adapters
import time:      2042 |       2042 |             importlib.metadata._meta
import time:      1491 |       1491 |             importlib.metadata._collections
import time:      1177 |       1177 |             importlib.metadata._itertools
import time:      1536 |       1536 |                   importlib.resources.abc
import time:      1627 |       1627 |                   importlib.resources._adapters
import time:      1853 |       5016 |                 importlib.resources._common
import time:      1482 |       1482 |                 importlib.resources._legacy
import time:      1501 |       7998 |               importlib.resources
import time:      2020 |      10018 |             importlib.abc
import time:      3918 |      40908 |           importlib.metadata
import time:      1331 |      42239 |         pydantic.plugin._loader
import time:    194592 |     424715 |       config.models
import time:      1450 |       1450 |         yaml.error
import time:      1477 |       1477 |         yaml.tokens
import time:      1579 |       1579 |         yaml.events
import time:      1361 |       1361 |         yaml.nodes
import time:      9463 |       9463 |           yaml.reader
import time:      1691 |       1691 |           yaml.scanner
import time:      1212 |       1212 |           yaml.parser
import time:       950 |        950 |           yaml.composer
import time:      2047 |       2047 |           yaml.constructor
import time:      3683 |       3683 |           yaml.resolver
import time:      1560 |      20602 |         yaml.loader
import time:      1560 |       1560 |           yaml.emitter
import time:      1301 |       1301 |           yaml.serializer
import time:      1494 |       1494 |           yaml.representer
import time:      1292 |       5645 |         yaml.dumper
import time:       157 |        157 |             yaml.yaml
import time:      1813 |       1970 |           yaml._yaml
import time:      1407 |       3376 |         yaml.cyaml
import time:      2357 |      37844 |       yaml
import time:      4338 |     466897 |     config.loader
import time:      3831 |       3831 |     config.paths
import time:      1010 |       1010 |     config.secrets_bridge
import time:      1425 |       1425 |         core
import time:       794 |       2218 |       core.interfaces
import time:      1643 |       3861 |     core.interfaces.config
import time:       844 |        844 |       security
import time:      1909 |       2752 |     security.secrets
import time:       541 |        541 |     keyring
import time:     11602 |     503589 |   app_config
import time:       513 |        513 |     core.api
import time:      1499 |       1499 |       starlette
import time:      1902 |       1902 |       starlette.status
import time:      1455 |       1455 |           annotated_doc.main
import time:      1489 |       2943 |         annotated_doc
import time:      1127 |       1127 |               starlette.exceptions
import time:      2359 |       3485 |             fastapi.exceptions
import time:      1496 |       1496 |               fastapi.openapi
import time:      1312 |       1312 |                   fastapi.types
import time:      1066 |       1066 |                     starlette.concurrency
import time:      1091 |       1091 |                     starlette.types
import time:      2491 |       4647 |                   starlette.datastructures
import time:      1808 |       7766 |                 fastapi._compat.shared
import time:      1345 |       1345 |                   fastapi.openapi.constants
import time:      4928 |       6273 |                 fastapi._compat.v2
import time:      1143 |      15180 |               fastapi._compat
import time:      1465 |       1465 |               fastapi.logger
import time:       748 |        748 |               email_validator
import time:    176108 |     194995 |             fastapi.openapi.models
import time:      6045 |     204525 |           fastapi.params
import time:      1700 |       1700 |           fastapi.datastructures
import time:      1139 |       1139 |             fastapi.dependencies
import time:       903 |        903 |                   fastapi.security.base
import time:      2939 |       2939 |                     http.cookies
import time:      1483 |       1483 |                     starlette._utils
import time:      1022 |       1022 |                             python_multipart.exceptions
import time:      1112 |       2134 |                           python_multipart.decoders
import time:      3841 |       5975 |                         python_multipart.multipart
import time:      1172 |       7146 |                       python_multipart
import time:      2507 |       9653 |                     starlette.formparsers
import time:      1298 |      15371 |                   starlette.requests
import time:      3039 |      19313 |                 fastapi.security.api_key
import time:      1170 |       1170 |                   fastapi.security.utils
import time:      3830 |       4999 |                 fastapi.security.http
import time:      2988 |       2988 |                   fastapi.param_functions
import time:      2643 |       5630 |                 fastapi.security.oauth2
import time:      1381 |       1381 |                 fastapi.security.open_id_connect_url
import time:      1116 |      32438 |               fastapi.security
import time:       129 |      32566 |             fastapi.security.base
import time:      3852 |      37557 |           fastapi.dependencies.models
import time:       974 |        974 |               starlette.background
import time:      1082 |       2055 |             fastapi.background
import time:      1106 |       1106 |             fastapi.concurrency
import time:      1359 |       1359 |             fastapi.utils
import time:      3006 |       3006 |                 _hashlib
import time:       123 |        123 |                 _blake2
import time:      1319 |       4447 |               hashlib
import time:      1648 |       1648 |               mimetypes
import time:      1041 |       1041 |                 hmac
import time:      1075 |       2115 |               secrets
import time:      1840 |      10050 |             starlette.responses
import time:      1880 |       1880 |             starlette.websockets
import time:      4595 |      21043 |           fastapi.dependencies.utils
import time:      1223 |       1223 |               colorsys
